OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_MATERIALS_MATERIAL,By.CLASS_NAME,tab-materials-material,1232,0,184,62
CLASS_TAB_MATERIALS_TEXTURE,By.CLASS_NAME,tab-materials-texture,1416,0,184,62
CONTENT_MATERIALS_TEXTURE_STYLE_PINTAMATERIAALI_VAIHTOEHDOT,By.CSS_SELECTOR,.content-materials-texture>.style-header>h2,1240,80,352,28
ALT_PANELMATERIAL_FROSTED_BRONZE,By.CSS_SELECTOR,img[alt="panelmaterial_frosted_bronze"],1268,136,76,76
ALT_PANELMATERIAL_FINLAND_HARMAA_PEILI,By.CSS_SELECTOR,img[alt="panelmaterial_finland_harmaa_peili"],1364,136,76,76
ALT_PANELMATERIAL_BRONZE_MIRROR,By.CSS_SELECTOR,img[alt="panelmaterial_bronze_mirror"],1460,136,76,76
ALT_PANELMATERIAL_FINLAND_KIRKAS_PEILI,By.CSS_SELECTOR,img[alt="panelmaterial_finland_kirkas_peili"],1368,233,76,76
ID_MATERIAL_OPTION_BACK,By.ID,material-option-back,1240,583,352,32
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
