OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
ARVIOITU_HINTA,By.CSS_SELECTOR,h3,1242,10,348,32
CONST_365_99,By.CSS_SELECTOR,strong,1374,53,83,27
STORAGE_BLOCK_ITEM_GROUP_CLICKABLE_CONTENT_ESIKATSELU,By.CSS_SELECTOR,.storage-block-item-group-clickable>.storage-block-item-content-label>p,1292,100,87,25
ALT_PREVIEW_ICON,By.CSS_SELECTOR,img[alt="Preview icon"],1252,106,22,13
STORAGE_BLOCK_ITEM_GROUP_SAVE_CONTENT_TALLENNA_SUUNNITELMA,By.CSS_SELECTOR,.storage-block-item-group-save>.storage-block-item-content-label>p,1292,150,183,25
ALT_SAVE_ICON,By.CSS_SELECTOR,img[alt="Save icon"],1252,153,21,21
STORAGE_BLOCK_ITEM_REGISTER_TALLENNA_SUUNNITELMASI_30_IV_KSI_PALVELIMELLEMME,By.CSS_SELECTOR,.storage-block-item-form-register>p,1242,195,348,46
NAME_FULL,By.CSS_SELECTOR,input[name="full_name"],1250,246,331,41
NAME_EMAIL,By.CSS_SELECTOR,input[name="email"],1250,292,331,41
STORAGE_BLOCK_ITEM_REGISTER_TALLENNA_JA_SAAT_KOMEROKOODIN,By.CSS_SELECTOR,.storage-block-item-form-register>button,1250,338,331,44
STORAGE_BLOCK_ITEM_GROUP_SHARE_CONTENT_JAA_T_SIVU,By.CSS_SELECTOR,.storage-block-item-group-share>.storage-block-item-content-label>p,1292,531,114,25
ALT_SHARE_ICON,By.CSS_SELECTOR,img[alt="Share icon"],1252,534,21,24
CLASS_STORAGE_BLOCK_ITEM_GROUP_CALL,By.CLASS_NAME,storage-block-item-group-call,1232,573,368,50
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
